ID,Attore / Ruolo,Nome User Story,User Story,How to Demo,Importanza
10,Partecipante,Tracciamento GPS in background,"Come escursionista, voglio che la mia posizione GPS venga tracciata automaticamente in background durante l'escursione, così da garantire la mia sicurezza e quella del gruppo.",Il tracciamento GPS avviene tramite Foreground Service. La posizione è aggiornata e inviata al Capogruppo. Il tracciamento persiste anche con schermata spenta.,22
13,Partecipante,Auto-Pause GPS da fermo,"Come escursionista, voglio che il tracciamento GPS si riduca automaticamente quando sono fermo, così da risparmiare la batteria del dispositivo.",L'accelerometro rileva l'immobilità e riduce il campionamento GPS da 1 Hz a 0.01 Hz. Il tracciamento riprende automaticamente al rilevamento di movimento. Il battery drain è <8%/ora.,24
42,Sistema,Foreground Service per tracking continuo,"Come sistema, voglio mantenere attivo il tracciamento GPS e l'ascolto BLE tramite Foreground Service, così da evitare che Android interrompa i processi critici (Doze Mode).",Il Foreground Service è visibile tramite notifica persistente. I permessi ACCESS_FINE_LOCATION e ACCESS_BACKGROUND_LOCATION sono richiesti. Il processo non viene terminato in background.,26
11,Partecipante,Invio segnale SOS,"Come escursionista in difficoltà, voglio poter inviare un segnale SOS con le mie coordinate GPS, così da ricevere soccorso il prima possibile.","La pressione prolungata del tasto SOS invia nome, coordinate e tipo di emergenza. In assenza di rete, il segnale viene propagato via BLE Mesh. È richiesta conferma prima dell'invio.",28
34,Sistema,Risposta API < 500ms (p95),"Come sistema, voglio che le query geospaziali vengano elaborate in meno di 500 ms al 95° percentile in condizioni 4G, così da garantire un'esperienza utente fluida.",I test di carico verificano che il p95 delle risposte API sia < 500 ms. L'indice geospaziale 2dsphere di MongoDB ottimizza le query di prossimità.,35
22,Capogruppo,Ricezione e validazione SOS,"Come Capogruppo, voglio ricevere i segnali SOS dei partecipanti e poterli validare tramite la mia dashboard, così da attivare i soccorsi solo in caso di reale necessità.","L'SOS appare sulla dashboard con nome, coordinate e tipo di emergenza. La firma ECC viene verificata automaticamente. Il Capogruppo approva esplicitamente prima di inoltrare ai soccorsi.",38
36,Sistema,Cifratura AES-256 comunicazioni BLE,"Come sistema, voglio che tutti i payload SOS e della chat siano cifrati con AES-256 prima del broadcast BLE, così da garantire la riservatezza delle comunicazioni.",Tutti i messaggi BLE sono cifrati prima della trasmissione. La decifratura avviene solo sui dispositivi autorizzati. La firma ECC previene lo spoofing.,40
39,Sistema,Download preventivo Hike Packet (offline-ready),"Come sistema, voglio scaricare preventivamente la traccia GeoJSON e le Map Tiles OSM con padding di 1 km, così da garantire la navigazione offline in zona di not-spot.","All'avvio della sessione online, il ChecklistManager scarica l'Hike Packet. Le tiles sono disponibili offline per tutta la durata dell'escursione. Il download include i POI della zona.",42
20,Capogruppo,Dashboard tracking GPS in tempo reale,"Come Capogruppo, voglio poter visualizzare la posizione GPS di tutti i partecipanti in tempo reale sulla mappa, così da monitorare la coesione del gruppo. Il tutto deve avere un'interfaccia pulita e intuitiva.",La dashboard mostra tutti i partecipanti sulla mappa con aggiornamenti in tempo reale.,45
40,Sistema,Validazione TTL e firma ECC segnale SOS in rete mesh,"Come sistema, voglio che i segnali SOS nella rete BLE siano accettati solo se hanno firma ECC valida e hopCount ≤ 10, così da prevenire loop e spoofing.",Il Capogruppo verifica la firma Ed25519 del payload SOS. Pacchetti con hopCount > 10 sono scartati (dropPacket). Payload non firmati vengono eliminati silenziosamente (silentDiscard).,48
21,Capogruppo,Gestione emergenze e broadcast allarmi,"Come Capogruppo, voglio poter ricevere un allarme in broadcast da tutto il gruppo (online/beacon BLE) cosi da gestire le emergenze e coordinare la risposta.",L'allarme viene inviato a tutti i partecipanti via WebSocket (online) o BLE Mesh (offline). Il messaggio include tipo di emergenza e istruzioni. Tutti i dispositivi ricevono la notifica.,52
23,Capogruppo,Inoltro SOS ai soccorsi (CNSAS),"Come Capogruppo, voglio poter inoltrare un segnale SOS validato alle autorità di soccorso (CNSAS/112), così da attivare i soccorsi professionali in modo sicuro.",Il relay verso CNSAS avviene tramite hardware satellitare esterno. Il backend riceve la segnalazione via API. Il sistema registra l'evento di inoltro.,56
24,Capogruppo,Failover automatico leadership,"Come partecipante, voglio che in caso di indisponibilità del Capogruppo per 10+ minuti, venga eletto automaticamente un nuovo leader, così da garantire la continuità della gestione delle emergenze.","Dopo 10 min di assenza beacon del Capogruppo, scatta l'elezione. Il nuovo leader è scelto per distanza minima, batteria massima, Sc massimo e ID minore. Il sistema notifica la transizione.",60
14,Partecipante,Visualizzazione posizione relativa al gruppo,"Come escursionista, voglio vedere la posizione degli altri membri del gruppo sulla mappa, così da sapere dove si trovano rispetto a me.",La mappa mostra gli altri partecipanti in tempo reale (online) o tramite beacon BLE (offline). Le posizioni sono aggiornate periodicamente.,64
37,Sistema,Sincronizzazione batch Event Sourcing,"Come sistema, voglio sincronizzare gli eventi di gamification accumulati offline tramite Event Sourcing in batch, così da garantire la consistenza del saldo Crediti Sociali.",Il SyncManager invia la coda di AzioneGamificata al backend al ripristino della rete. Il backend esegue il replay degli eventi. I conflitti sono risolti per ordinamento temporale. L'idempotencyKey previene i duplicati.,68
26,Capogruppo,Sincronizzazione batch Event Sourcing,"Come escursionista che ha premuto SOS per errore, voglio poter annullare il segnale prima che venga inoltrato, così da evitare l'attivazione inutile dei soccorsi.","Dopo l'invio SOS, appare un prompt di conferma con timer. L'utente può annullare entro il timeout. L'annullamento registra l'evento come 'Falso Allarme'.",72
38,Sistema,Idempotenza transazioni crediti (UUID v4),"Come sistema, voglio garantire che ogni evento di gamification sia processato una sola volta, così da prevenire il double-spending dei Crediti Sociali.",Ogni evento ha un idempotencyKey UUID v4 univoco. Il backend scarta eventi già processati con HTTP 200. Le chiavi scadono dopo 30 giorni tramite TTL Index.,76
17,Partecipante,Ricezione alert meteo e pericoli,"Come escursionista, voglio ricevere notifiche di allerta meteo o pericoli nel percorso, così da prendere decisioni informate sulla mia sicurezza.",Le notifiche di pericolo inviate dal Gestore Rifugio appaiono immediatamente. Gli alert meteo vengono recuperati dalle API MeteoTrentino con timeout di 3 secondi.,80
27,Gestore Rifugio,Invio allerta pericolo push,"Come Gestore Rifugio, voglio poter inviare notifiche push di allerta pericolo agli escursionisti nella zona, così da informarli tempestivamente di situazioni pericolose.","L'allerta viene creata con tipo di pericolo, descrizione e area coinvolta. La notifica arriva a tutti gli utenti attivi nella zona di interesse.",84
25,Capogruppo,Risoluzione conflitto doppia leadership (anti-split-brain),"Come sistema, voglio risolvere automaticamente i conflitti quando due partizioni mesh hanno leader distinti, così da garantire un'unica leadership coerente al ricongiungimento.","Al ricongiungimento, il nodo con priorità inferiore abdica automaticamente secondo la cascata: distanza → batteria → Sc → ID.",88
43,Sistema,Timeout API Meteo max 3 secondi,"Come sistema, voglio che il polling alle API di MeteoTrentino abbia un timeout massimo di 3 secondi, così da non bloccare l'utente in caso di lentezza del servizio esterno.","Se l'API non risponde entro 3 secondi, vengono mostrati i dati meteo in cache. Un'indicazione visiva avvisa l'utente che i dati potrebbero non essere aggiornati.",92
28,Gestore Rifugio,Monitoraggio telemetria macchinari IoT,"Come Gestore Rifugio, voglio poter monitorare lo stato dei macchinari (compattatori, disidratatori) tramite dashboard, così da gestire la manutenzione preventiva.","La dashboard mostra lo stato di ogni macchinario (volume %, peso, temperatura, status). I dati vengono aggregati dall'Edge Gateway via MQTT. Gli alert di soglia sono configurabili.",96
35,Sistema,Storage locale SQLite max 50MB con FIFO,"Come sistema, voglio che il database locale non superi 50 MB applicando una politica FIFO, così da non saturare lo storage del dispositivo mobile.","Quando il DB locale si avvicina al limite, i log più vecchi vengono eliminati automaticamente (FIFO). Il limite è di 50 MB. L'utente non percepisce l'operazione.",100
16,Partecipante,Consultazione dati di navigazione,"Come escursionista, voglio poter consultare i dati di navigazione (quota, velocità, distanza percorsa) durante l'escursione, così da monitorare il mio progresso.","La dashboard during-hike mostra quota attuale, distanza percorsa e velocità. I dati sono visibili anche offline. L'interfaccia è operabile con una sola mano (pulsanti 48x48 dp).",104
41,Sistema,Compatibilità Android 9.0+ (API 28),"Come sistema, voglio essere compatibile con dispositivi Android 9.0 o superiori, così da coprire la maggior parte del parco dispositivi degli utenti.","L'app è installabile e funzionante su Android 9.0 (API 28)+. Le funzionalità critiche (GPS background, BLE) sono testate su SDK 28+.",108
29,Gestore Rifugio,Reset macchinari IoT,"Come Gestore Rifugio, voglio poter resettare i macchinari IoT del rifugio tramite l'app, così da risolvere malfunzionamenti senza intervento tecnico in loco.",Il comando di reset è disponibile solo per il ruolo GestoreRifugio. Il sistema invia il comando sul topic MQTT corretto. La risposta di conferma viene mostrata.,112
32,Amministratore,Monitoraggio spesa crediti sociali,"Come Amministratore, voglio poter monitorare il volume di Crediti Sociali emessi e spesi sulla piattaforma, così da verificare la sostenibilità del sistema economico.","La dashboard mostra crediti totali emessi, spesi e in circolazione. I dati sono aggregabili per periodo, area geografica e tipo di attività.",125
30,Gestore Rifugio,Monitoraggio affollamento rifugio,"Come Gestore Rifugio, voglio poter visualizzare il conteggio delle persone presenti nel rifugio tramite sensori ottici, così da gestire la capacità in modo efficiente.",Il sensore ottico conta le sagome on-board (Edge AI). Il conteggio è trasmesso via MQTT. Il valore non può essere negativo. Nessun flusso video è trasmesso (GDPR).,130
31,Amministratore,Gestione promozioni partner,"Come Amministratore, voglio poter inserire e gestire le promozioni dei partner commerciali, così da offrire sconti agli utenti che spendono i loro Crediti Sociali.","L'admin può creare, modificare e disattivare promozioni. Ogni promozione ha descrizione, sconto e validità temporale. I partner sono collegati alle promozioni.",135
8,Partecipante,Reindirizzamento store partner,"Come escursionista, voglio poter essere reindirizzato agli store partner per acquistare l'attrezzatura mancante, così da completare il mio equipaggiamento comodamente.",La checklist mostra un bottone/link per ogni oggetto mancante che porta allo store partner corrispondente.,140
45,Partecipante,Visualizzazione difficoltà e dislivello,"Come escursionista, voglio vedere la difficoltà tecnica e il dislivello di una attività, così da valutare se è adatto alle mie capacità in modo chiaro sull'interfaccia grafica in app",La scheda del percorso mostra chiaramente difficoltà (scala standard) e dislivello in metri. I dati provengono dagli Open Data.,150
44,Tutti gli utenti,Recupero password,"Come utente che ha dimenticato la password, voglio poter richiedere il reset tramite email, così da riacquisire accesso al mio account.","L'utente inserisce l'email, riceve un link di reset. Il link porta a una schermata per impostare una nuova password.",160
46,Partecipante,Abbandono sessione escursione,"Come escursionista, voglio poter abbandonare una sessione di gruppo quando lo desidero, così da gestire autonomamente la mia partecipazione.",L'abbandono rimuove l'utente dalla lista partecipanti. Il Capogruppo viene notificato. L'azione è confermata tramite prompt.,170
