ID,Attore / Ruolo,Nome User Story,User Story,How to Demo,Importanza,
22,Capogruppo,Ricezione e validazione SOS,"Come Capogruppo, voglio ricevere i segnali SOS dei partecipanti e poterli validare tramite la mia dashboard, così da attivare i soccorsi solo in caso di reale necessità.","L'SOS appare sulla dashboard con nome, coordinate e tipo di emergenza. La firma ECC viene verificata automaticamente. Il Capogruppo approva esplicitamente prima di inoltrare ai soccorsi.",38,
39,Sistema,Download preventivo Hike Packet (offline-ready),"Come sistema, voglio scaricare preventivamente la traccia GeoJSON e le Map Tiles OSM con padding di 1 km, così da garantire la navigazione offline in zona di not-spot.","All'avvio della sessione online, il ChecklistManager scarica l'Hike Packet. Le tiles sono disponibili offline per tutta la durata dell'escursione. Il download include i POI della zona.",42,
20,Capogruppo,Dashboard tracking GPS in tempo reale,"Come Capogruppo, voglio poter visualizzare la posizione GPS di tutti i partecipanti in tempo reale sulla mappa, così da monitorare la coesione del gruppo. Il tutto deve avere un'interfaccia pulita e intuitiva.",La dashboard mostra tutti i partecipanti sulla mappa con aggiornamenti in tempo reale.,45,
21,Capogruppo,Gestione emergenze e broadcast allarmi,"Come Capogruppo, voglio poter ricevere un allarme dai componenti del gruppo(online e beacon BLE) cosi da gestire le emergenze e coordinare la risposta.",L'allarme viene inviato a tutti i partecipanti via WebSocket (online) o BLE Mesh (offline). Il messaggio include tipo di emergenza e istruzioni. Tutti i dispositivi ricevono la notifica.,52,
55,Utente,Interfaccia utente e grafica,"Come utente, voglio un'interfaccia coerente (palette, tipografia, icone) in tutta l'app, così da avere un'esperienza professionale e leggibile.","- Navigare Sessione, Registra/Mappa, Profilo e Social: palette, tipografia e card con stile uniforme.
 - Verificare componenti aggiornati (bottoni, chip, skeleton) su feed, dettaglio post e dashboard rifugio.
 - Controllare leggibilità in tema chiaro/scuro e stati di caricamento/errore coerenti.
 - Icona launcher e asset logo aggiornati sull'app installata.",60,
14,Partecipante,Visualizzazione posizione relativa al gruppo,"Come escursionista, voglio vedere la posizione degli altri membri del gruppo sulla mappa, così da sapere dove si trovano rispetto a me, con un'implementazione efficiente ed efficace anche a livello energetico.",La mappa mostra gli altri partecipanti in tempo reale (online) o tramite beacon BLE (offline). Le posizioni sono aggiornate periodicamente.,62,
37,Sistema,Sincronizzazione batch Event Sourcing,"Come sistema, voglio sincronizzare gli eventi di gamification accumulati offline tramite Event Sourcing in batch, così da garantire la consistenza del saldo Crediti Sociali.",Il SyncManager invia la coda di AzioneGamificata al backend al ripristino della rete. Il backend esegue il replay degli eventi. I conflitti sono risolti per ordinamento temporale. L'idempotencyKey previene i duplicati.,64,
54,Utente,Sicurezza del profilo personale in app,"Come utente, voglio verificare la password prima di modificare dati sensibili dell'account e poterla cambiare in sicurezza, così da proteggere le mie informazioni.","- Profilo → Account → inserire la password attuale: l'accesso alle modifiche sensibili si sblocca.
 - Modificare dati in PersonalInfo / Experience / Preferences / Goals e salvare con successo.
 - Cambiare password dalla schermata dedicata (vecchia + nuova password) e ri-autenticarsi se richiesto.
 - Tentativo con password errata su verify: messaggio di errore, nessuna modifica applicata.
 - (Opzionale) Eliminazione account con conferma password e redirect alla schermata di login.",68,
26,Capogruppo,Sincronizzazione batch Event Sourcing,"Come escursionista che ha premuto SOS per errore, voglio poter annullare il segnale prima che venga inoltrato, così da evitare l'attivazione inutile dei soccorsi.","Dopo l'invio SOS, appare un prompt di conferma con timer. L'utente può annullare entro il timeout. L'annullamento registra l'evento come 'Falso Allarme'.",69,
38,Sistema,Idempotenza transazioni crediti (UUID v4),"Come sistema, voglio garantire che ogni evento di gamification sia processato una sola volta, così da prevenire il double-spending dei Crediti Sociali.
 Idempotenza",Ogni evento ha un idempotencyKey UUID v4 univoco. Il backend scarta eventi già processati con HTTP 200. Le chiavi scadono dopo 30 giorni tramite TTL Index.,72,
17,Partecipante,Ricezione alert meteo e pericoli,"Come escursionista, voglio ricevere notifiche di allerta meteo o pericoli nel percorso, così da prendere decisioni informate sulla mia sicurezza.",Le notifiche di pericolo inviate dal Gestore Rifugio appaiono immediatamente. Gli alert meteo vengono recuperati dalle API MeteoTrentino con timeout di 3 secondi.,76,
27,Gestore Rifugio,Invio allerta pericolo push,"Come Gestore Rifugio, voglio poter inviare notifiche push di allerta pericolo agli escursionisti nella zona, così da informarli tempestivamente di situazioni pericolose.","L'allerta viene creata con tipo di pericolo, descrizione e area coinvolta. La notifica arriva a tutti gli utenti attivi nella zona di interesse.",80,
43,Sistema,Timeout API Meteo max 3 secondi,"Come sistema, voglio che il polling alle API di MeteoTrentino abbia un timeout massimo di 3 secondi, così da non bloccare l'utente in caso di lentezza del servizio esterno.","Se l'API non risponde entro 3 secondi, vengono mostrati i dati meteo in cache. Un'indicazione visiva avvisa l'utente che i dati potrebbero non essere aggiornati.",84,
35,Sistema,Storage locale SQLite max 50MB con FIFO,"Come sistema, voglio che il database locale non superi 50 MB applicando una politica FIFO, così da non saturare lo storage del dispositivo mobile.","Quando il DB locale si avvicina al limite, i log più vecchi vengono eliminati automaticamente (FIFO). Il limite è di 50 MB. L'utente non percepisce l'operazione.",88,
49,Utente,Schermata Profilo,"Come utente, voglio una schermata Profilo completa (dati personali, esperienza, obiettivi, livello e crediti sociali, foto), così da gestire la mia identità in app e vedere la mia progressione.","- Aprire la tab Profilo dopo il login: verificare avatar, livello, crediti sociali e le sezioni dati personali, esperienza, preferenze e obiettivi.
 - Completare o aggiornare il profilo (onboarding skippable) e salvare: i dati restano al riavvio dell'app.
 - Caricare o rimuovere la foto profilo (long-press): l'avatar compare in Profilo, Profilo pubblico e card partecipanti in dettaglio sessione.
 - Aprire il profilo di un altro utente dal feed Social: vista read-only, pulsante Segui/Smetti di seguire.
 - Verificare la card crediti/livello coerente con GET /users/me/credits.",92,
50,Utente,Schermata Feed,"Come utente, voglio feed sociale, interazioni (follow, like, commenti), stories 24h e editor visivo, così da seguire la community e condividere le escursioni.","- Home → tab Social: feed verticale con attività condivise (metriche, traccia, autore).
 - Cercare un utente, seguirlo e verificare che le sue attività pubbliche compaiano nel feed.
 - Mettere like e aprire i commenti su un post; i contatori si aggiornano senza ricaricare tutta l'app.
 - Social row in alto: anelli stato (sessione live / story non vista / obiettivo settimanale); tap apre story viewer o profilo.
 - Condividere un'attività sul feed; creare una story 24h con editor (mappa, overlay); visualizzare e eliminare un post proprio.
 - Pull-to-refresh aggiorna feed e badge notifiche.",96,
16,Partecipante,Consultazione dati di navigazione,"Come escursionista, voglio poter consultare i dati di navigazione (quota, velocità, distanza percorsa) durante l'escursione, così da monitorare il mio progresso.","La dashboard during-hike mostra quota attuale, distanza percorsa e velocità. I dati sono visibili anche offline. L'interfaccia è operabile con una sola mano (pulsanti 48x48 dp).",100,inserita in task
41,Sistema,Compatibilità Android 9.0+ (API 28),"Come sistema, voglio essere compatibile con dispositivi Android 9.0 o superiori, così da coprire la maggior parte del parco dispositivi degli utenti.","L'app è installabile e funzionante su Android 9.0 (API 28)+. Le funzionalità critiche (GPS background, BLE) sono testate su SDK 28+.",101,
52,Utente,Modulo formazione (Quiz),"Come utente, voglio il modulo Formazione con quiz a risposta multipla, crediti al primo superamento e checkpoint NFC (mockup), così da imparare e progredire nei livelli.","- Profilo → Formazione: elenco categorie quiz con percentuale di completamento.
 - Avviare un quiz: domande a scelta multipla con feedback immediato (Corretto/Sbagliato) e spiegazione.
 - Superare al primo tentativo: accredito crediti sociali; un secondo tentativo non duplica i punti.
 - Tornare alla lista categorie: la progressione risulta aggiornata (ON_RESUME / refresh).
 - [Mockup NFC] Aprire la scansione tag: messaggio di errore fuori range; in demo/mockup simulare accredito in prossimità del totem.",103,
30,Gestore Rifugio,Monitoraggio affollamento rifugio,"Come Gestore Rifugio, voglio poter visualizzare il conteggio delle persone presenti nel rifugio tramite sensori ottici, così da gestire la capacità in modo efficiente.",Il sensore ottico conta le sagome on-board (Edge AI). Il conteggio è trasmesso via MQTT. Il valore non può essere negativo. Nessun flusso video è trasmesso (GDPR).,104,
45,Partecipante,Visualizzazione difficoltà e dislivello,"Come escursionista, voglio vedere la difficoltà tecnica e il dislivello di una attività, così da valutare se è adatto alle mie capacità in modo chiaro sull'interfaccia grafica in app",La scheda del percorso mostra chiaramente difficoltà (scala standard) e dislivello in metri. I dati provengono dagli Open Data.,108,
44,Tutti gli utenti,Recupero password,"Come utente che ha dimenticato la password, voglio poter richiedere il reset tramite email, così da riacquisire accesso al mio account.","L'utente inserisce l'email, riceve un link di reset. Il link porta a una schermata per impostare una nuova password.",112,
46,Partecipante,Abbandono sessione escursione,"Come escursionista, voglio poter abbandonare una sessione di gruppo , così da gestire autonomamente la mia partecipazione.",L'abbandono rimuove l'utente dalla lista partecipanti. Il Capogruppo viene notificato. L'azione è confermata tramite prompt.,123,
8,Partecipante,Reindirizzamento store partner,"Come escursionista, voglio poter essere reindirizzato agli store partner per acquistare l'attrezzatura mancante, così da completare il mio equipaggiamento comodamente.",La checklist mostra un bottone/link per ogni oggetto mancante che porta allo store partner corrispondente.,130,
24,Capogruppo,Failover automatico leadership,"Come partecipante, voglio che in caso di indisponibilità del Capogruppo per 10+ minuti, venga eletto automaticamente un nuovo leader, così da garantire la continuità della gestione delle emergenze.","Dopo 10 min di assenza beacon del Capogruppo, scatta l'elezione. Il nuovo leader è scelto per distanza minima, batteria massima, Sc massimo e ID minore. Il sistema notifica la transizione.",135,
25,Capogruppo,Risoluzione conflitto doppia leadership (anti-split-brain),"Come sistema, voglio risolvere automaticamente i conflitti quando due partizioni mesh hanno leader distinti, così da garantire un'unica leadership coerente al ricongiungimento.","Al ricongiungimento, il nodo con priorità inferiore abdica automaticamente secondo la cascata: distanza → batteria → Sc → ID.",141,
28,Gestore Rifugio,Monitoraggio telemetria macchinari IoT,"Come Gestore Rifugio, voglio poter monitorare lo stato dei macchinari (compattatori, disidratatori) tramite dashboard, così da gestire la manutenzione preventiva.","La dashboard mostra lo stato di ogni macchinario (volume %, peso, temperatura, status). I dati vengono aggregati dall'Edge Gateway via MQTT. Gli alert di soglia sono configurabili.",154,
29,Gestore Rifugio,Reset macchinari IoT,"Come Gestore Rifugio, voglio poter resettare i macchinari IoT del rifugio tramite l'app, così da risolvere malfunzionamenti senza intervento tecnico in loco.",Il comando di reset è disponibile solo per il ruolo GestoreRifugio. Il sistema invia il comando sul topic MQTT corretto. La risposta di conferma viene mostrata.,158,inserita in task
31,Amministratore,Gestione promozioni partner,"Come Amministratore, voglio poter inserire e gestire le promozioni dei partner commerciali, così da offrire sconti agli utenti che spendono i loro Crediti Sociali.","L'admin può creare, modificare e disattivare promozioni. Ogni promozione ha descrizione, sconto e validità temporale. I partner sono collegati alle promozioni.",165,
